"","Doc","Score","Documents"
"1"," 1","-6","blind person use screen reader voiceov io serious voiceov access problem new version doubl tap contact app crash everi second brows peopl may know section app get slower slower slower longer eyebrow third use voiceov option remov someon peopl may know list see anymor access problem app use somewhat minim realli look forward see app fix use favorit network platform apolog peopl bore review app app support page provid feedback app kind nice develop provid detail updat releas note mani app develop don t s pet peev"
"2"," 2"," 0","swear site provid much stress tri set didn t drop colleg left job interest chang whenev open app tell finish updat profil don t anymor inform add s say tri leav thing blank don t appli couldn t got notic shown search open notif taken page within app work without laptop happen mobil app make sens ve made connect now everi open app skip page connect random peopl don t know app websit infuri attempt use use kind media work least decent platform far anger use mayb team overwork fix issu glare long last still around"
"3"," 3","-3","absolut worst corrupt non user friend app mani reason even begin mention name user want unfriend leav group intent make imposs mobil app m still deal glitch app year ago without give permiss access iphon s contact automat dump everi contact iphon s contact contact combin person contact big deal say contact birthday automat ad iphon s calendar everyday least coupl birthday show year manual remov contact name admit error thank noth help point zero trust integr honesti reliabl"
"4"," 4"," 1","app solid easi use complaint content feed option improv feed realli offer real option except ad new peopl follow flexibl let choos see less exampl feed need see everi singl connect like someth rememb alway use see current connect connect new peopl use see lot everi day help info contact connect someon new industri work conjunct peopl may know info almost never see type updat anymor feed explain feed offer zero flexibl see thing import"
"5"," 5"," 7","li app longer run im forc upgrad app iphon doesnt support new minimum de latest app sad li made decis support earlier sw version transit spend k new phone isnt smartest idea right now laptop go forward still abandon support said delet app reload hope reload said load sw compat phone featur may work ha knew featur wouldnt work app screen come state updat latest sw cant get loop phone doesnt support latest iphon sw cant get latest li download silli loop correct want guess close case didnt respond hour like mess app ugh now know feel abandon"
"6"," 6"," 1","number applic appl id door support dialog box select app support write dialog box review review base fact face id use s respons leav app sign wish inform app privat suggest technolog face id incorpor say percent applic point tell updat app use function difficult ll wait face id recognit app soon use manual put password hold phone face make motiv use applic greater use larg finger type password john"
"7"," 7"," 0","download app thought easier use phone ve use minut crash time crash send request connect attach messag request person doesn t know now sent request t finish messag don t know attach type alreadi given tool help peopl network profession connect frustrat now reach person pay premium account use mail ll use app anymor serious inconveni stop use link app year ago lead accident connect request scroll search suggest connect"
"8"," 8","-3","app constant crash upload post photo video effort take write post goe wast crash use iphon x hardwar excus issu like hear develop say problem problem issu least last year instal app multipl luck don t use app anymor sometim travel option sure basic function resolv platform hard figur develop provid answer updat develop ask submit ticket websit app version io version"
"9"," 9"," 6","app develop nice user friend everyth s great s featur realli help usuallymost work less watch video featur save view later amaz save videovideo link go home watch instead scroll search post like app option save videosvideo link certain watch later folder realli expect team work s good kudo develop"
"10","10","-2","love app howev late last month app becom slow s almost unus simpl search use return respons second now minut often throw error don t pretti much action main land page work return oop s s us error happen across mobil app websit often time get never end spinner ultim failur error messag love s work hasn t week haven t seen acknowledg issu imagin widespread send help pleas note instal latest app iphon xr chang"
"11","11","-1","tri connect lot fit profession take minut request send click switch screen stop send resend request cover search bar t anyth els click littl circl add someon alway jump page finger fat mayb make less sensit around circl make bigger button better nuisanc t get button cover request sent pop fix problem d say star"
"12","12"," 1","trick pay premium subscript absolut valu assum free trial end never receiv singl email notif upcom subscript renew sign free trial last month tri find place cancel subscript app websit luck now refus refund payment appal compani feign interest profession success absolut sens provid good custom servic entail auto renew expens subscript without notic without ask permiss sneaki conniv refus refund payment insan sever disappoint sure warn employe colleagu friend"
"13","13"," 1","although major individu connect app respect proper use app connect other wish connect select feel tool best use make cold sale call issu app report use email address email separ app effort get buy purchas product behav may violat term condit identifi problem separ email connect folk t go deal appropri"
"14","14"," 0","app general interact work need howev appreci alert ever sinc last updat ive gotten alert sever time day open app alert end ask know someon individu everi singl everi dismiss know gotten point serious turn alert app signific decreas use last updat fine now beg attent realli give"
"15","15","-1","use mac comput use sign app previous iphon get new phone everi app abl use facial detect let sign app reject facial recognit forc robot test collect ai data user identifi pictur necessari free data ai collect test microsoftlinkedin everi get password wrong reason app won t accept facial recognit everi app move mac iphon log annoy ridicul stop take advantag user forc us ai test collect data"
"16","16"," 0","ive turn notif everyth except thing care invit connect messag anyth els pertain direct still receiv push notif superflu event like trend news articl daili basi app design mani notif type possibl ive turn obscur notif rememb turn notif set link dismiss messag show youv turn option turn notif youll eventu receiv complet irrespons annoy ill reserv desktop now"
"17","17","-2","updat t send screenshot glitch app ve email actual desktop site problem ask email address show issu noth chang contact app delet turn notif get mani tire now get notif notif set s point stop ridicul amount notif fix otherwis m delet app altogeth"
"18","18","-1","spent minut look provid app feedback app websit avail regardless actual feedback miss messag sinc turn badg turn badg address inund linkedin notif happi feed like see thing log interest includ badg alert count option turn badg revert email notif new messag seem like miss opportun even imposs interest improv platform provid feedback"
