"","Doc","Score","Documents"
"1"," 1","-3","made account almost year ago avid user account use app sat phone hour reopen app ask log verifi account see haven t log confus start ask thisi ve account long email address sign longer access unabl reset password tri email tech support gave excus say couldn t verifi account ve never ask upset tech support ve rather talk actual person explain problem send email took long respond now im stuck tri figur old password don t creat new account week sinc happen im disappoint servic lack communic"
"2"," 2"," 5","ve year now recent lock account due age restrict m current age account due eu regul combat lock account made peopl age america don t understand affect account yet howev s biggest issu ve never use support account got lock email account support contact support team help tri submit form say account lock t send messag account lock made new account direct send messag lock account proceed tell t submit form lock account support need serious revamp consid s use peopl work account account work wouldn t need contact support first place"
"3"," 3","-5","perhap better get almost year now love app howev two week ago sent email say suppos violat rule lock account hour guess s hour later m still lock absolut contact whatsoev get account tri sever time file appeal suspens yet zero contact answer say someth harsh someon yes admit howev promot violenc suppos hate threaten someon s life consid conserv s problem admit s problem everyon els move howev allow liber left lean person say whatev repercuss m afraid go much bigger problem hand pleas sake human respond tell long m go lock least move"
"4"," 4","-2","everi tri takeoff sensit mode doesn t wanna tri instruct googl ve tri even go set chang everyth differ s half ve account block suspend follow peopl ve suspend retweet tweet ve mani problem got month s realli aggrav coupl account long ago didn t even rememb password hard delet like phone number pin number someth dumb stupid wouldn t let delet account success delet m still troubl sensit realli appreci fix someth ve tri liter everyth"
"5"," 5"," 1","s crack good site enjoy far make friend camaraderi discuss site almost month given hour suspens oneweek suspens suppos offens tweet now suspend four month idea attempt get touch communic vain get compani line tri solv within two three day although may longer four month now courtesi reason suspend communic whatsoev anyth said near bad liber put still account realli like account someth need done peopl let polit influenc tweet don t like suspend peopl"
"6"," 6","-3","got glitch tell notif someon direct messag go messag s noth found person messag request section email later got account wasn t block person sent messag notif dms still ever dmed past week now log log notif still delet app reinstal app didn t work ve glitch notif month two annoy much s account glitch don t know fix"
"7"," 7"," 3","like titl say don t actual work moder site might think s someon read tweet go search specif slur ll find myriad tweet n word f word doesn t bat eyelash get discuss pedophiliac apologist tell trash condon cp art re readi ban suspend account perfect honest m ok ban site offer platform racist nazi pedophil transphobia absolut cesspool societi m actual glad happen made realiz piec garbag platform might seem better tumblr world even smidgen better come media give appear give crap doesn t mean believ differ facebook world sell d list celeb sell flat tummi tea target ad great servic dumpster fire guess"
"8"," 8"," 4","s lot better snapchat tumbler tictoc anyth els reason high intellig peopl philosoph tweet idea scientist throw new discoveri charact less wealth fact account tweet old fact bot ever program mani webcom artist artist general news travel quicker around countri world movi trailer game trailer show trailer et cetra first media account reason idealist experi trust ve activ iphon s account pc s account pc s account origin iphon s account came second despit shouldn t need media experi like"
"9"," 9","-1","love alway love updat rule polici strict link now m understand tweet bold text followingunfollow mani ppl even tweet feel certain polit issu look threat understand someon give mislead inform threaten someon els rule doesn t sens uncal don t like t use number multipl account say rule polici won t let need rule won t mislead don t like tweet delet tweet caus m overthink s twitter rule s respect rule polici feel strict realli harm consid threat"
"10","10"," 1","notic verifi account particular espous view far right commit kind egregi violat term servic includ harass threat hate conduct doxx case least public offici intimid wit feloni yet allow account remain subscrib unknown particular within progress communiti peac express critic comment even public offici prepar accept part job unknown get account suspend doubl standard coupl ceo jack dorsey s meet trump make wonder isn t russian asset rule hard understand deboost need strong competitor rule realli appli everyon technic support good luck s almost imposs get hold real person s phone number call need better job weed bot troll account"
"11","11"," 6","love ve account year now recent ve lock account ve request review account day ago requir send photo id ve yet get email sent request twice m begin becom realli frustrat even tri call s number told press custom support proceed tell don t offer custom support phone don t understand option list don t offer ve tri messag support friend s account said dm s unavail given tri salvag old account decid new brand new email address lock suspici activ extrem aggrav t even contact anyon help sort problem new account like said love need serious improv custom support account"
"12","12","-2","use use app day everyday go everi piec news inform interest somewher along develop bug driven point never open anymor open app almost immedi tell messag tap messag tab noth notif goe away close app now red bubbl notif badg open app see say messag s noth someon mild clinic ocd absolut madden s point now won t open app"
"13","13"," 1","ve use sinc first came amaz hous much learn s go around world real game changer still now everi platform bug s technolog work ll say best respons regard anyth limit fix bug quick manner s media platform truli allow free speech don t offens post near often cross verrrryyyyi big line say s type tweeter equal divers user long stori short 😂😂😂 give tri s re use s equal awesom"
"14","14","-1","oldtim find app easi use understand medium controversi softwar excel iphon seldom encount problem sourc major break news feed includ winner pulitz nobel two gaggl intellig encourag follow littl trick learn especi need charact make better editor concis writer problem bot fake account flame date old day compuserv prodigi aol s new howev corpor titan stop flow disinform hostil malign sourc figur high recommend app easi learn easi use cheer t👍🏼"
"15","15","-1","final gotten app year hour download start account lock thought reason decid must secur purpos go start step get account pop plain white screen word robot writer top arrow next button word blank screen tri restart phone noth happen tire redownload app noth happen especi frustrat start account therefor understand root problem wonder glitch someth els fault"
"16","16","-1","m author made account charact book interact humor skit suspend temporarili main account faultperfect okay charact account suspend acknowledg mani mani compani ident publish product etc howev reach support tri resolv issu never follow charact account question alway polit affabl peopl interact distinct person glad given superflu account save import one inabl reach reach human left dissatisfi stay main follow polit depress given presiden abus account spread dishonest propaganda"
"17","17"," 1","recent updat app io everyth work fine dictat thing now seem visual impair write say unless short hand even turn voiceov dictat still doesn t work start dictat say dictat turn call appl issu appl say s issu fair s dictat work everywher els even uninstal applic turn phone turn phone went redownload app even sign credenti tri dictat test tweet didn t work pleas fix annoy bug visual impair differ handicap problem visual issu whatsoev t even send support help question get"
